artista,colaborador,duracion,explicito,visitas,fecha_publicacion,title
Quevedo,Myke Towers,256,False,16205934,2022/12/15,PLAYA DEL INGLÉS
Arcangel,Bad Bunny,256,False,67086599,2022/11/30,La jumpa
Quevedo,Bizarrap,204,False,417306738,2022/07/06,"Quevedo: Bzrp Music Sessions, Vol. 52"
Farruko,Omar Montes,213,False,8680482,2022/11/24,Patio de la Cárcel (Tangos - Official Video)
Belinda,Ana Mena,188,False,29775395,2022/06/16,LAS 12
Aitana,Sangiovanni,163,False,27217494,2022/06/02,mariposas
Abraham Mateo,Ana Mena,224,False,20897227,2022/05/12,Quiero Decirte (Official Video)
Melendi,India Martínez,247,False,15713361,2022/09/01,SI ELLA SUPIERA (Video Oficial)
Rauw Alejandro,Baby Rasta,214,False,93293260,2022/09/24,PUNTO 40
Shakira,Ozuna,185,False,158322425,2022/10/19,Monotonía
Ptazeta,Emilia,229,False,30379513,2022/07/21,Quieres
Ptazeta,Aitana,229,False,30379513,2022/07/21,Quieres
Quevedo,Ovy On The Drums,193,False,32306087,2022/07/21,Sin Señal
KAROL G,Maldy,222,False,259230826,2022/08/25,GATÚBELA
Shakira,Rauw Alejandro,196,False,440329062,2022/04/21,Te Felicito
Bizarrap,Duki,232,False,57856350,2022/11/16,"Bzrp Music Sessions, Vol. 50"
Ñengo Flow,Bad Bunny,257,False,19769471,2022/12/22,Gato de Noche
KAROL G,Ovy On The Drums,216,False,81368137,2022/11/13,Cairo
Yandel,Feid,219,False,14322352,2022/12/20,Yandel 150
Jairo deRemache,Omar Montes,232,False,23584070,2022/06/23,La Llama del Amor (Rumba - Official Video)
Jairo deRemache,Farruquito,232,False,23584070,2022/06/23,La Llama del Amor (Rumba - Official Video)
India Martínez,Andy Rivera,252,False,3470624,2022/11/17,5 SENTÍOS (Video Oficial)
Myke Towers,Tiago PZK,225,False,39813316,2022/07/14,Traductor
Rauw Alejandro,Lyanno,207,False,98619976,2022/07/25,LOKERA
Rauw Alejandro,Brray,207,False,98619976,2022/07/25,LOKERA
Quevedo,Mora,200,False,8211252,2022/11/03,APA
Rema,Selena Gomez,240,False,223366131,2022/09/07,Calm Down
Quevedo,Linton,150,False,53996511,2021/12/10,Ahora y Siempre
Duki,Cris Mj,249,False,31785680,2022/12/15,Marisola (Remix) (feat. Standly & Stars Music Chile)
Duki,Nicki Nicole,249,False,31785680,2022/12/15,Marisola (Remix) (feat. Standly & Stars Music Chile)
Alain Pérez,Original Elias,195,False,1040583,2022/12/08,KDERONA
