artista,colaboracion,duracion,explicito
Bizarrap,Duki,232,False
Quevedo,Bizarrap,204,False
Bizarrap,Tiago PZK,167,False
L-Gante,Bizarrap,195,False
Nicky Jam,Bizarrap,160,False
Bizarrap,Residente,520,False
Bizarrap,Villano Antillano,188,False
Snow Tha Product,Bizarrap,184,False
Ptazeta,Bizarrap,167,False
Nathy Peluso,Bizarrap,176,False
Bizarrap,Nicki Nicole,146,False
Eladio Carrion,Bizarrap,172,False
Bizarrap,Trueno,200,False
Alemán,Bizarrap,177,False
Bizarrap,Duki,177,False
Bizarrap,Cazzu,151,False
dani,Bizarrap,178,False
Bizarrap,Morad,179,False
Zaramay,Bizarrap,230,False
Anuel AA,Bizarrap,202,False
Bizarrap,Trueno,162,False
Bizarrap,Ysy A,157,False
Bizarrap,Chucky73,146,False
Hot Plug Beats,Frijo,131,False
Hot Plug Beats,Bizarrap,131,False
Kiddo Toto,Bizarrap,166,False
Bizarrap,Bhavi,149,False
Bizarrap,John C,139,False
Bizarrap,Seven Kayne,143,False
Arcangel,Bad Bunny,256,False
Farruko,Omar Montes,213,False
Quevedo,Bizarrap,204,False
Bizarrap,Duki,232,False
Quevedo,Bad Gyal,199,False
Rauw Alejandro,Baby Rasta,214,False
Aitana,Sangiovanni,163,False
Shakira,Ozuna,185,False
Melendi,India Martínez,247,False
Belinda,Ana Mena,188,False
Anuel AA,Bryant Myers,251,False
Quevedo,Ovy On The Drums,193,False
Abraham Mateo,Ana Mena,224,False
KAROL G,Maldy,222,False
KAROL G,Ovy On The Drums,216,False
Ptazeta,Emilia,229,False
Ptazeta,Aitana,229,False
Sergio Ramos,Niña Pastori,234,False
Sergio Ramos,RedOne,234,False
Shakira,Rauw Alejandro,196,False
Arcangel,Duki,207,False
Arcangel,Bizarrap,207,False
Jairo deRemache,Farruquito,232,False
Jairo deRemache,Omar Montes,232,False
Quevedo,Mora,200,False
Rauw Alejandro,Lyanno,207,False
Rauw Alejandro,Brray,207,False
India Martínez,Andy Rivera,252,False
Quevedo,Mora,275,False
Quevedo,Polima Westcoast,275,False
Anuel AA,MVSIS,200,False
Selena Gomez,Rema,240,False
Galvan Real,María Artés Lamorena,217,False
C. Tangana,Omar Montes,200,False
JC Reyes,Pablo Chill-E,370,False
JC Reyes,Ecko,370,False
Zion & Lennox,Feid,229,False
Anuel AA,Foreign Teck,183,False
Arcangel,Myke Towers,196,False
ROSALÍA,Romeo Santos,266,False
Kidd Keo,TALE$,158,False
Eladio Carrion,Arcangel,215,False
David Guetta,Bebe Rexha,178,False
RVFV,Duki,188,False
Cano,El Jhota,183,False
Cano,Los del Control,183,False
Wiso Rivera,Cruz Cafuné,253,False
Wiso Rivera,Juseph,253,False
Subelo Neo,Rauw Alejandro,187,False
Lola Indigo,Maria Becerra,177,False
Shakira,Ozuna,167,False
RM,조유진,289,False
Feid,DJ Premier,182,False
Anuel AA,Chris Jedi,221,False
Anuel AA,Gaby Music,221,False
Arcangel,YOVNGCHIMI,185,False
Kiddo,Pepe : Vizio,235,False
Kiddo,Delaossa,235,False
Estopa,Beret,220,False
Sebastián Yatra,Pablo Alborán,216,False
Bad Bunny,Anuel AA,301,False
Bad Bunny,Omega,301,False
