Source,Target,duracion,explicito,visitas,a�o,mes,dia,title
0,16,256,False,15613341,2022,12,15,PLAYA DEL INGLÉS
1,30,256,False,65463258,2022,11,30,DESPECHÁ
2,319,284,False,11939779,2022,12,30,La jumpa
2,18,284,False,11939779,2022,12,30,La jumpa
0,2,204,False,415573439,2022,07,06,3 Estrellas en el Conjunto
3,320,213,False,8566847,2022,11,24,La Bachata
4,321,188,False,29632245,2022,06,16,Punto G
"5,322,163,False,27101086,2022,06,02,""Quevedo: Bzrp Music Sessions, Vol. 52"""
6,321,224,False,20762814,2022,05,12,Patio de la Cárcel (Tangos - Official Video)
7,15,247,False,15586572,2022,09,01,Dominicana (feat. Pablo Mas)
8,323,214,False,92623476,2022,09,24,LAS 12
9,47,185,False,157172676,2022,10,19,mariposas
10,324,229,False,30250693,2022,07,21,Quiero Decirte (Official Video)
10,5,229,False,30250693,2022,07,21,Quiero Decirte (Official Video)
0,325,193,False,32167661,2022,07,21,Hey Mor (feat. Feid)
11,326,222,False,258006397,2022,08,25,SI ELLA SUPIERA (Video Oficial)
9,8,196,False,439522149,2022,04,21,PUNTO 40
2,18,232,False,56734800,2022,11,16,Monotonía
12,30,257,False,19275053,2022,12,22,Observador
11,325,216,False,80526041,2022,11,13,Vista al mar
13,63,219,False,13312105,2022,12,20,Tití me preguntó
14,320,232,False,23536359,2022,06,23,PROVENZA
14,327,232,False,23536359,2022,06,23,PROVENZA
15,328,252,False,3399744,2022,11,17,Quieres
16,76,225,False,39627972,2022,07,14,Me porto bonito (feat. Chencho Corleone)
8,329,207,False,97979236,2022,07,25,Carretera
8,330,207,False,97979236,2022,07,25,Carretera
0,41,200,False,8159812,2022,11,03,Sin Señal
17,331,240,False,220962203,2022,09,07,Besos Moja2
0,332,150,False,53892507,2021,12,10,Feliz Cumpleaños Ferxxo
18,333,249,False,30483770,2022,12,15,GATÚBELA
18,334,249,False,30483770,2022,12,15,GATÚBELA
19,335,195,False,1012202,2022,12,08,Te Felicito
19,336,195,False,1012202,2022,12,08,Te Felicito
"0,337,199,False,2816729,2022,12,01,""Bzrp Music Sessions, Vol. 50"""
20,338,177,False,20695610,2022,08,25,BENY JR FT MORAD - SIGUE (K y B Capítulo 1)
21,339,253,False,4974648,2022,09,01,Gato de Noche
21,340,253,False,4974648,2022,09,01,Gato de Noche
0,41,275,False,8447747,2022,11,24,Cairo
0,341,275,False,8447747,2022,11,24,Cairo
22,342,170,False,78297409,2022,10,27,Yandel 150
23,343,178,False,91729030,2022,09,20,La Llama del Amor (Rumba - Official Video)
24,8,188,False,8687479,2022,12,27,All I Want for Christmas Is You (Make My Wish Come True Edition)
25,344,370,False,32899243,2022,10,07,5 SENTÍOS (Video Oficial)
25,345,370,False,32899243,2022,10,07,5 SENTÍOS (Video Oficial)
26,346,266,False,26242683,2022,09,02,JS4E
27,18,188,False,10015338,2022,09,08,Justin Quiles - Asi Fué (Video Oficial)
"28,320,200,False,4637655,2022,10,06,""RVFV, Kikimoteleba - TIGINI REMIX (Video Oficial)"""
29,347,221,False,14787596,2022,11,08,Cinderella
29,348,221,False,14787596,2022,11,08,Cinderella
30,349,259,False,226708269,2022,05,06,Yonaguni
31,350,214,False,580416,2022,12,22,Qué Bonita
31,351,214,False,580416,2022,12,22,Qué Bonita
9,47,167,False,27429018,2022,10,29,DE CAROLINA (feat. Dj Playero)
32,67,240,False,59668406,2022,07,18,Traductor
33,352,220,False,4361106,2022,09,01,CHORRITO PA LAS ANIMAS
34,353,268,False,911710,2022,12,15,Waka Waka (Esto es Africa) (Cancion Oficial de la Copa Mundia... (feat. Freshlyground)
34,354,268,False,911710,2022,12,15,Waka Waka (Esto es Africa) (Cancion Oficial de la Copa Mundia... (feat. Freshlyground)
35,34,217,False,1826945,2022,11,21,LOKERA
"16,143,194,False,6954063,2022,11,24,""Europa (feat. Morad, Elai & Rhove)"""
36,355,183,False,7733311,2022,08,19,APA
36,356,183,False,7733311,2022,08,19,APA
13,63,219,False,13312105,2022,12,20,Calm Down
12,30,257,False,19275053,2022,12,22,AUTOMÁTICO
24,8,188,False,8687479,2022,12,27,Calm Down
29,357,296,False,16272869,2022,12,08,Quasi
29,46,296,False,16272869,2022,12,08,Quasi
29,221,296,False,16272869,2022,12,08,Quasi
11,326,222,False,258006397,2022,08,25,Amigos (feat. Maria Becerra)
37,358,150,False,688622,2023,01,06,Lo Justo
18,333,249,False,30483770,2022,12,15,Ahora y Siempre
18,334,249,False,30483770,2022,12,15,Ahora y Siempre
8,323,214,False,92623476,2022,09,24,Marisola (Remix) (feat. Standly & Stars Music Chile)
38,63,231,False,19131869,2022,10,20,LET GO
38,98,231,False,19131869,2022,10,20,LET GO
39,357,227,False,7269574,2022,12,15,MiCharelo
40,359,228,False,41954171,2021,04,23,KDERONA
8,329,207,False,97979236,2022,07,25,Real G (Video Oficial)
8,330,207,False,97979236,2022,07,25,Real G (Video Oficial)
"13,76,173,False,4168775,2022,12,01,""José Rey , Moncho Chavea , Lamela - NIÑA"""
29,347,221,False,14787596,2022,11,08,DISCOTEKA (Official Video)
29,348,221,False,14787596,2022,11,08,DISCOTEKA (Official Video)
41,46,186,False,2507669,2022,11,03,Muchoperro
42,46,260,False,17747054,2022,10,13,LACONE
42,85,260,False,17747054,2022,10,13,LACONE
16,143,194,False,6954063,2022,11,24,Papá Canela - La Navidad
13,1,203,False,10135105,2022,10,20,Miss You
43,338,206,False,20988225,2022,09,29,I'm Good (Blue)
44,360,193,False,684703,2022,10,13,Tú Corazón
38,16,218,False,13115342,2022,08,18,RON COLA
29,347,256,False,180905794,2022,05,19,Mbappe
29,12,256,False,180905794,2022,05,19,Mbappe
29,361,256,False,180905794,2022,05,19,Mbappe
45,361,239,False,50338760,2022,06,09,Cara Bonita (Remix) (feat. Raul Nadal)
"29,362,244,False,28824550,2022,07,14,""34 AMOR Y MAFIA [REMIX] (feat. El Jincho, Camin, Harry Nach & Pedro Calderon)"""
"29,363,244,False,28824550,2022,07,14,""34 AMOR Y MAFIA [REMIX] (feat. El Jincho, Camin, Harry Nach & Pedro Calderon)"""
46,8,202,False,32781499,2022,06,03,Bebo
16,76,225,False,39627972,2022,07,14,Por la boca vive el pez
8,361,232,False,366875184,2021,12,09,Neverita
47,76,217,False,62051253,2022,06,02,Que te agache
48,43,234,False,2789953,2022,11,15,El Pañuelo (Official Video)
48,143,234,False,2789953,2022,11,15,El Pañuelo (Official Video)
49,364,237,False,60654991,2022,03,17,Pantera
49,63,237,False,60654991,2022,03,17,Pantera
30,143,195,False,86043414,2022,04,06,Una y Mil Veces (Official Video)
41,63,205,False,97771411,2022,03,31,DURO (feat. Jenny La Sexy Voz)
50,30,232,False,401168379,2021,08,02,Never Gonna Give You Up
50,346,232,False,401168379,2021,08,02,Never Gonna Give You Up
51,365,399,False,392597695,2021,06,17,Another Love (Official Video)
51,366,399,False,392597695,2021,06,17,Another Love (Official Video)
52,63,234,False,302503213,2021,11,12,CORAZÓN DESPEINADO
53,42,241,False,285489895,2021,10,27,Ojitos Lindos
53,315,241,False,285489895,2021,10,27,Ojitos Lindos
54,53,349,False,140483187,2021,10,29,Chocolate con Pan (feat. Big Lois & Israel Amador)
54,367,349,False,140483187,2021,10,29,Chocolate con Pan (feat. Big Lois & Israel Amador)
54,368,349,False,140483187,2021,10,29,Chocolate con Pan (feat. Big Lois & Israel Amador)
55,30,270,False,311487419,2021,06,24,Ella y Yo (feat. Don Omar)
55,57,270,False,311487419,2021,06,24,Ella y Yo (feat. Don Omar)
52,369,184,False,4846819,2022,11,30,Monotonía
11,326,222,False,258006397,2022,08,25,Ya Te Olvidé
43,47,274,False,2441798478,2017,08,18,Los Cachos
30,370,214,False,1240825100,2020,10,29,Diablo
56,43,217,False,2080726719,2018,04,20,Te echo de menos
30,57,306,False,1967928428,2019,05,16,BLACKOUT
30,370,306,False,1967928428,2019,05,16,BLACKOUT
11,371,204,False,1398134147,2019,11,07,Mi Corazón Es Mío
"8,361,232,False,366875184,2021,12,09,""Nyno Vargas, Daviles de Novelda - Me encanta (Videoclip Oficial)"""
57,338,217,False,585103777,2021,05,27,ULALA (OOH LA LA)
11,29,258,False,1346125005,2019,01,14,La última vez (feat. Bad Bunny)
16,372,218,False,774893162,2020,07,17,Pajaros de Barro
16,230,218,False,774893162,2020,07,17,Pajaros de Barro
58,1,233,False,858175613,2019,12,12,Cero (Remix)
29,90,292,False,1003510085,2019,08,22,Yandel 150
29,47,292,False,1003510085,2019,08,22,Yandel 150
51,365,399,False,392597695,2021,06,17,Hey Mor (feat. Feid)
51,366,399,False,392597695,2021,06,17,Hey Mor (feat. Feid)
8,373,213,False,473699767,2021,02,13,Gatita
54,30,266,False,875626791,2019,05,10,Gato de Noche
54,143,266,False,875626791,2019,05,10,Gato de Noche
29,347,256,False,180905794,2022,05,19,RON COLA
29,12,256,False,180905794,2022,05,19,RON COLA
29,361,256,False,180905794,2022,05,19,RON COLA
53,42,241,False,285489895,2021,10,27,Me porto bonito (feat. Chencho Corleone)
53,315,241,False,285489895,2021,10,27,Me porto bonito (feat. Chencho Corleone)
47,84,262,False,619406968,2020,08,17,La Máquina
47,16,262,False,619406968,2020,08,17,La Máquina
30,90,252,False,1010188178,2019,05,31,GATÚBELA
8,329,207,False,97979236,2022,07,25,CHORRITO PA LAS ANIMAS
8,330,207,False,97979236,2022,07,25,CHORRITO PA LAS ANIMAS
56,374,280,False,841099473,2018,08,02,Bájala
57,98,250,False,383508211,2020,09,03,Marisola (Remix) (feat. Standly & Stars Music Chile)
57,143,250,False,383508211,2020,09,03,Marisola (Remix) (feat. Standly & Stars Music Chile)
8,361,208,False,628566329,2019,03,14,PUNTO 40
59,47,204,False,613833878,2019,03,21,En La De Ella
