Id,Label,colaboracion,subscriptores,views
0,Arcangel,"['Bad Bunny', 'Bad Bunny', 'Sech']",10.7M,"4,762,428,080 views"
1,Farruko,"['Omar Montes', 'Rauw Alejandro', 'Natti Natasha', 'Justin Quiles', 'Myke Towers', 'Sech', 'Sean Paul', 'Nicky Jam', 'Amenazzy', 'Don Omar', 'Myke Towers', 'Rvssian', 'J Balvin', 'Rauw Alejandro', 'Anuel AA', 'Zumbi', 'Rauw Alejandro', 'KEVVO', 'Chencho Corleone', 'Natti Natasha', 'Justin Quiles', 'Lenny Tavárez', 'Natti Natasha', 'Dalex', 'Rauw Alejandro', 'Nicky Jam', 'Amenazzy', 'Rvssian', 'J Balvin', 'Nicky Jam', 'Amenazzy']",18.3M,"8,921,192,800 views"
2,Quevedo,"['Bizarrap', 'Ovy On The Drums', 'Myke Towers', 'Mora', 'Bad Gyal', 'Mora', 'Polima Westcoast', 'Bizarrap', 'Myke Towers', 'Mora', 'Polima Westcoast', 'Bizarrap', 'De La Ghetto', 'Duki']",1.1M,"298,971,371 views"
3,Bizarrap,"['Duki', 'Duki']",16.6M,"5,853,258,103 views"
4,Aitana,['Sangiovanni'],2.15M,No info
5,Belinda,"['Ana Mena', 'Ana Mena']",870K,"352,516,078 views"
6,Melendi,['India Martínez'],4.41M,"3,768,357,550 views"
7,Rauw Alejandro,"['Baby Rasta', 'Lyanno', 'Brray', 'Lyanno', 'Brray', 'Baby Rasta', 'Nio Garcia', 'Lenny Tavárez', 'Baby Rasta', 'Nio Garcia', 'Lenny Tavárez', 'Lyanno', 'Brray', 'Chencho Corleone', 'Mr. NaisGai', 'Lyanno', 'Brray', 'Chencho Corleone', 'Baby Rasta', 'Chencho Corleone', 'Lyanno', 'Brray', 'Álvaro Díaz', 'Baby Rasta', 'Chencho Corleone', 'Lyanno', 'Brray', 'Álvaro Díaz', 'Baby Rasta', 'Lyanno', 'Brray', 'Chencho Corleone', 'Chencho Corleone', 'Chencho Corleone', 'Chencho Corleone']",12.3M,"10,185,535,959 views"
8,Anuel AA,"['Jowell & Randy', 'De La Ghetto', 'Yailin la Mas Viral', 'MVSIS', 'David Guetta', 'Bryant Myers', 'Foreign Teck', 'Chris Jedi', 'Gaby Music', 'Jowell & Randy', 'De La Ghetto', 'Yailin la Mas Viral', 'Chris Jedi', 'Gaby Music', 'Jowell & Randy', 'De La Ghetto', 'Yailin la Mas Viral', 'Chris Jedi', 'Ñengo Flow', 'Chencho Corleone', 'Tainy', 'Ozuna', 'Chris Jedi', 'Ñengo Flow', 'Chencho Corleone', 'Rauw Alejandro', 'Daddy Yankee', 'Jowell & Randy', 'De La Ghetto', 'Yailin la Mas Viral', 'Chris Jedi', 'Ñengo Flow', 'Chencho Corleone', 'Chris Jedi', 'Gaby Music', 'Randy Nota Loca', 'Zion', 'Chris Jedi', 'Ñengo Flow', 'Chencho Corleone', 'Brytiago', 'Daddy Yankee', 'Darell', 'Ozuna', 'Daddy Yankee', 'Natti Natasha', 'Rauw Alejandro', 'Chris Jedi', 'Gaby Music', 'Chris Jedi', 'Ñengo Flow', 'Chencho Corleone', 'Rauw Alejandro', 'Rvssian', 'Juice WRLD', 'Ozuna', 'Tainy', 'Ozuna', 'Chris Jedi', 'Gaby Music', 'Tainy', 'Ozuna', 'Tainy', 'Ozuna', 'Daddy Yankee', 'Darell', 'Ozuna', 'Daddy Yankee']",23.4M,"12,701,780,470 views"
9,Abraham Mateo,['Ana Mena'],4.63M,"1,820,025,823 views"
10,Shakira,"['Ozuna', 'Rauw Alejandro', 'Ozuna', 'Ozuna', 'Ozuna', 'Rauw Alejandro', 'Anuel AA', 'Pedro Capó', 'Camilo', 'Maluma']",39.3M,"25,066,506,723 views"
11,Emilia,"['Ptazeta', 'Aitana', 'Ptazeta', 'Aitana', 'Ptazeta', 'Aitana']",1.28M,"646,369,077 views"
12,KAROL G,"['Maldy', 'Ovy On The Drums', 'Ovy On The Drums', 'Maldy', 'Ovy On The Drums', 'Maldy', 'Maldy', 'Nicki Minaj', 'Anuel AA', 'Feid', 'Maldy', 'Maldy', 'Feid', 'Maldy', 'Anuel AA', 'Daddy Yankee', 'Anuel AA', 'Ovy On The Drums', 'Maldy', 'Feid', 'Nicki Minaj', 'Simone & Simaria', 'Anuel AA', 'Daddy Yankee', 'Nicki Minaj', 'Anuel AA', 'Mariah Angeliq ', 'Feid', 'Nicki Minaj', 'Anuel AA', 'Daddy Yankee', 'Anuel AA', 'Anuel AA', 'Daddy Yankee', 'Anuel AA', 'Anuel AA']",28.8M,"15,399,667,447 views"
13,India Martínez,['Andy Rivera'],1.01M,"709,535,493 views"
14,Jairo deRemache,"['Farruquito', 'Omar Montes']",193,No info
15,Selena Gomez,['Rema'],32M,"12,080,075,070 views"
16,Jhayco,"['Mora', 'Feid', 'Sech', 'Myke Towers', 'Feid', 'Sech', 'Myke Towers', 'Myke Towers', 'Anuel AA', 'Mora', 'Feid', 'Sech', 'Myke Towers', 'Myke Towers', 'Anuel AA', 'Anuel AA', 'Mora', 'Anuel AA']",4.75M,"3,735,969,578 views"
17,Sergio Ramos,"['Niña Pastori', 'RedOne']",589,"9,013 views"
18,C. Tangana,"['Omar Montes', 'Becky G', 'Becky G']",2.23M,"1,374,121,111 views"
19,JC Reyes,"['Pablo Chill-E', 'Ecko', 'Pablo Chill-E', 'Ecko']",17.8K,No info
20,Galvan Real,['María Artés Lamorena'],418K,No info
21,Nicki Minaj,"['Maluma', 'Myriam Fares', 'FIFA Sound']",25.1M,"9,742,692,380 views"
22,Cano,"['El Jhota', 'Los del Control']",182K,No info
23,Kidd Keo,['TALE$'],4.69M,No info
24,David Guetta,['Bebe Rexha'],24.8M,"16,609,162,390 views"
25,ROSALÍA,"['Romeo Santos', 'Romeo Santos', 'Romeo Santos']",9.98M,"4,686,563,677 views"
26,Lola Indigo,['Maria Becerra'],1.24M,"687,474,002 views"
27,Beret,['Estopa'],4.56M,"1,452,724,510 views"
28,RVFV,['Duki'],982K,No info
29,Wiso Rivera,"['Cruz Cafuné', 'Juseph']",175,No info
30,Alain Pérez,"['Original Elias', 'Big Lois']",1,No info
31,Oliver Tree,['Robin Schulz'],4.35M,"1,262,404,366 views"
32,Myke Towers,"['Daddy Yankee', 'Daddy Yankee', 'Daddy Yankee', 'DJ Nelson', 'Jay Wheeler', 'Daddy Yankee', 'Tiago PZK', 'Tiago PZK', 'Juhn']",9.58M,No info
